iter	Passed	Remaining
326	83610	172078
327	83890	171874
328	84171	171668
329	84425	171409
330	84666	171124
331	84925	170875
332	85167	170591
333	85367	170224
334	85589	169901
335	85871	169698
336	86125	169439
337	86385	169193
338	86624	168904
339	86857	168606
340	87083	168292
341	87301	167965
342	87537	167673
343	87786	167407
344	88019	167109
345	88268	166842
346	88505	166553
347	88764	166305
348	88991	165998
349	89223	165700
350	89467	165426
351	89685	165103
352	89898	164770
353	90129	164474
354	90370	164194
355	90615	163921
356	90840	163614
357	91090	163353
358	91325	163063
359	91561	162776
360	91814	162519
361	92041	162216
362	92282	161940
363	92551	161711
364	92795	161437
365	93050	161185
366	93306	160934
367	93558	160675
368	93803	160406
369	94049	160138
370	94273	159832
371	94516	159559
372	94748	159268
373	95001	159013
374	95268	158780
375	95501	158492
376	95761	158248
377	95991	157954
378	96247	157704
379	96485	157422
380	96707	157117
381	96947	156841
382	97173	156543
383	97408	156260
384	97656	155996
385	97924	155766
386	98182	155519
387	98411	155226
388	98678	154993
389	98905	154699
390	99154	154437
391	99384	154147
392	99671	153945
393	99889	153637
394	100132	153367
395	100349	153057
396	100580	152770
397	100829	152511
